-1	-1	2
-1	-0.8	1.7376
-1	-0.6	1.6736
-1	-0.4	1.7216
-1	-0.2	1.8336
-1	0	2
-1	0.2	2.2496
-1	0.4	2.6496
-1	0.6	3.3056
-1	0.8	4.3616
-1	1	6
-0.8	-1	1.7376
-0.8	-0.8	1.4752
-0.8	-0.6	1.4112
-0.8	-0.4	1.4592
-0.8	-0.2	1.5712
-0.8	0	1.7376
-0.8	0.2	1.9872
-0.8	0.4	2.3872
-0.8	0.6	3.0432
-0.8	0.8	4.0992
-0.8	1	5.7376
-0.6	-1	1.6736
-0.6	-0.8	1.4112
-0.6	-0.6	1.3472
-0.6	-0.4	1.3952
-0.6	-0.2	1.5072
-0.6	0	1.6736
-0.6	0.2	1.9232
-0.6	0.4	2.3232
-0.6	0.6	2.9792
-0.6	0.8	4.0352
-0.6	1	5.6736
-0.4	-1	1.7216
-0.4	-0.8	1.4592
-0.4	-0.6	1.3952
-0.4	-0.4	1.4432
-0.4	-0.2	1.5552
-0.4	0	1.7216
-0.4	0.2	1.9712
-0.4	0.4	2.3712
-0.4	0.6	3.0272
-0.4	0.8	4.0832
-0.4	1	5.7216
-0.2	-1	1.8336
-0.2	-0.8	1.5712
-0.2	-0.6	1.5072
-0.2	-0.4	1.5552
-0.2	-0.2	1.6672
-0.2	0	1.8336
-0.2	0.2	2.0832
-0.2	0.4	2.4832
-0.2	0.6	3.1392
-0.2	0.8	4.1952
-0.2	1	5.8336
0	-1	2
0	-0.8	1.7376
0	-0.6	1.6736
0	-0.4	1.7216
0	-0.2	1.8336
0	0	2
0	0.2	2.2496
0	0.4	2.6496
0	0.6	3.3056
0	0.8	4.3616
0	1	6
0.2	-1	2.2496
0.2	-0.8	1.9872
0.2	-0.6	1.9232
0.2	-0.4	1.9712
0.2	-0.2	2.0832
0.2	0	2.2496
0.2	0.2	2.4992
0.2	0.4	2.8992
0.2	0.6	3.5552
0.2	0.8	4.6112
0.2	1	6.2496
0.4	-1	2.6496
0.4	-0.8	2.3872
0.4	-0.6	2.3232
0.4	-0.4	2.3712
0.4	-0.2	2.4832
0.4	0	2.6496
0.4	0.2	2.8992
0.4	0.4	3.2992
0.4	0.6	3.9552
0.4	0.8	5.0112
0.4	1	6.6496
0.6	-1	3.3056
0.6	-0.8	3.0432
0.6	-0.6	2.9792
0.6	-0.4	3.0272
0.6	-0.2	3.1392
0.6	0	3.3056
0.6	0.2	3.5552
0.6	0.4	3.9552
0.6	0.6	4.6112
0.6	0.8	5.6672
0.6	1	7.3056
0.8	-1	4.3616
0.8	-0.8	4.0992
0.8	-0.6	4.0352
0.8	-0.4	4.0832
0.8	-0.2	4.1952
0.8	0	4.3616
0.8	0.2	4.6112
0.8	0.4	5.0112
0.8	0.6	5.6672
0.8	0.8	6.7232
0.8	1	8.3616
1	-1	6
1	-0.8	5.7376
1	-0.6	5.6736
1	-0.4	5.7216
1	-0.2	5.8336
1	0	6
1	0.2	6.2496
1	0.4	6.6496
1	0.6	7.3056
1	0.8	8.3616
1	1	10
