x y z
-4.0 -4.0 -1.2820947222113926e-001
-4.0 -3.5 -1.7743911486826255e-001
-4.0 -3.0 -2.3066890152288896e-001
-4.0 -2.5 -2.8269709758805217e-001
-4.0 -2.0 -3.2833999449559520e-001
-4.0 -1.5 -3.6393228662521721e-001
-4.0 -1.0 -3.8815714686683878e-001
-4.0 -0.5 -4.0171257882496997e-001
-4.0 0.0 -4.0600584970983811e-001
-4.0 0.5 -4.0171257882496997e-001
-4.0 1.0 -3.8815714686683878e-001
-4.0 1.5 -3.6393228662521721e-001
-4.0 2.0 -3.2833999449559520e-001
-4.0 2.5 -2.8269709758805217e-001
-4.0 3.0 -2.3066890152288896e-001
-4.0 3.5 -1.7743911486826255e-001
-4.0 4.0 -1.2820947222113926e-001
-3.5 -4.0 -1.7743911486826255e-001
-3.5 -3.5 -2.3969943971778981e-001
-3.5 -3.0 -3.0278502381463590e-001
-3.5 -2.5 -3.5892360531887035e-001
-3.5 -2.0 -4.0171257882496997e-001
-3.5 -1.5 -4.2851947019164083e-001
-3.5 -1.0 -4.4134834843623150e-001
-3.5 -0.5 -4.4542419769608288e-001
-3.5 0.0 -4.4604690658664253e-001
-3.5 0.5 -4.4542419769608288e-001
-3.5 1.0 -4.4134834843623150e-001
-3.5 1.5 -4.2851947019164083e-001
-3.5 2.0 -4.0171257882496997e-001
-3.5 2.5 -3.5892360531887035e-001
-3.5 3.0 -3.0278502381463590e-001
-3.5 3.5 -2.3969943971778981e-001
-3.5 4.0 -1.7743911486826255e-001
-3.0 -4.0 -2.3066890152288896e-001
-3.0 -3.5 -3.0278502381463590e-001
-3.0 -3.0 -3.6889728596652516e-001
-3.0 -2.5 -4.1804080463846954e-001
-3.0 -2.0 -4.4305126920943660e-001
-3.0 -1.5 -4.4417222738251572e-001
-3.0 -1.0 -4.2975719529028511e-001
-3.0 -0.5 -4.1299644883672754e-001
-3.0 0.0 -4.0581558419793717e-001
-3.0 0.5 -4.1299644883672754e-001
-3.0 1.0 -4.2975719529028511e-001
-3.0 1.5 -4.4417222738251572e-001
-3.0 2.0 -4.4305126920943660e-001
-3.0 2.5 -4.1804080463846954e-001
-3.0 3.0 -3.6889728596652516e-001
-3.0 3.5 -3.0278502381463590e-001
-3.0 4.0 -2.3066890152288896e-001
-2.5 -4.0 -2.8269709758805217e-001
-2.5 -3.5 -3.5892360531887035e-001
-2.5 -3.0 -4.1804080463846954e-001
-2.5 -2.5 -4.4542419769608288e-001
-2.5 -2.0 -4.3389057961529681e-001
-2.5 -1.5 -3.8878959664909635e-001
-2.5 -1.0 -3.2827967547646542e-001
-2.5 -0.5 -2.7734206880067491e-001
-2.5 0.0 -2.5753126599653303e-001
-2.5 0.5 -2.7734206880067491e-001
-2.5 1.0 -3.2827967547646542e-001
-2.5 1.5 -3.8878959664909635e-001
-2.5 2.0 -4.3389057961529681e-001
-2.5 2.5 -4.4542419769608288e-001
-2.5 3.0 -4.1804080463846954e-001
-2.5 3.5 -3.5892360531887035e-001
-2.5 4.0 -2.8269709758805217e-001
-2.0 -4.0 -3.2833999449559520e-001
-2.0 -3.5 -4.0171257882496997e-001
-2.0 -3.0 -4.4305126920943660e-001
-2.0 -2.5 -4.3389057961529681e-001
-2.0 -2.0 -3.6787944117144233e-001
-2.0 -1.5 -2.5753126599653303e-001
-2.0 -1.0 -1.3381535712974757e-001
-2.0 -0.5 -3.6741854570146656e-002
-2.0 0.0 0.0000000000000000e+000
-2.0 0.5 -3.6741854570146656e-002
-2.0 1.0 -1.3381535712974757e-001
-2.0 1.5 -2.5753126599653303e-001
-2.0 2.0 -3.6787944117144233e-001
-2.0 2.5 -4.3389057961529681e-001
-2.0 3.0 -4.4305126920943660e-001
-2.0 3.5 -4.0171257882496997e-001
-2.0 4.0 -3.2833999449559520e-001
-1.5 -4.0 -3.6393228662521721e-001
-1.5 -3.5 -4.2851947019164083e-001
-1.5 -3.0 -4.4417222738251572e-001
-1.5 -2.5 -3.8878959664909635e-001
-1.5 -2.0 -2.5753126599653303e-001
-1.5 -1.5 -7.1222853091365376e-002
-1.5 -1.0 1.2490192700690395e-001
-1.5 -0.5 2.7435586085499064e-001
-1.5 0.0 3.3024232587019070e-001
-1.5 0.5 2.7435586085499064e-001
-1.5 1.0 1.2490192700690395e-001
-1.5 1.5 -7.1222853091365376e-002
-1.5 2.0 -2.5753126599653303e-001
-1.5 2.5 -3.8878959664909635e-001
-1.5 3.0 -4.4417222738251572e-001
-1.5 3.5 -4.2851947019164083e-001
-1.5 4.0 -3.6393228662521721e-001
-1.0 -4.0 -3.8815714686683878e-001
-1.0 -3.5 -4.4134834843623150e-001
-1.0 -3.0 -4.2975719529028511e-001
-1.0 -2.5 -3.2827967547646542e-001
-1.0 -2.0 -1.3381535712974757e-001
-1.0 -1.5 1.2490192700690395e-001
-1.0 -1.0 3.8940039153570244e-001
-1.0 -0.5 5.8804991252385297e-001
-1.0 0.0 6.6187267693844665e-001
-1.0 0.5 5.8804991252385297e-001
-1.0 1.0 3.8940039153570244e-001
-1.0 1.5 1.2490192700690395e-001
-1.0 2.0 -1.3381535712974757e-001
-1.0 2.5 -3.2827967547646542e-001
-1.0 3.0 -4.2975719529028511e-001
-1.0 3.5 -4.4134834843623150e-001
-1.0 4.0 -3.8815714686683878e-001
-0.5 -4.0 -4.0171257882496997e-001
-0.5 -3.5 -4.4542419769608288e-001
-0.5 -3.0 -4.1299644883672754e-001
-0.5 -2.5 -2.7734206880067491e-001
-0.5 -2.0 -3.6741854570146656e-002
-0.5 -1.5 2.7435586085499064e-001
-0.5 -1.0 5.8804991252385297e-001
-0.5 -0.5 8.2198642996179139e-001
-0.5 0.0 9.0865615732157257e-001
-0.5 0.5 8.2198642996179139e-001
-0.5 1.0 5.8804991252385297e-001
-0.5 1.5 2.7435586085499064e-001
-0.5 2.0 -3.6741854570146656e-002
-0.5 2.5 -2.7734206880067491e-001
-0.5 3.0 -4.1299644883672754e-001
-0.5 3.5 -4.4542419769608288e-001
-0.5 4.0 -4.0171257882496997e-001
0.0 -4.0 -4.0600584970983811e-001
0.0 -3.5 -4.4604690658664253e-001
0.0 -3.0 -4.0581558419793717e-001
0.0 -2.5 -2.5753126599653303e-001
0.0 -2.0 0.0000000000000000e+000
0.0 -1.5 3.3024232587019070e-001
0.0 -1.0 6.6187267693844665e-001
0.0 -0.5 9.0865615732157257e-001
0.0 0.0 1.0000000000000000e+000
0.0 0.5 9.0865615732157257e-001
0.0 1.0 6.6187267693844665e-001
0.0 1.5 3.3024232587019070e-001
0.0 2.0 0.0000000000000000e+000
0.0 2.5 -2.5753126599653303e-001
0.0 3.0 -4.0581558419793717e-001
0.0 3.5 -4.4604690658664253e-001
0.0 4.0 -4.0600584970983811e-001
0.5 -4.0 -4.0171257882496997e-001
0.5 -3.5 -4.4542419769608288e-001
0.5 -3.0 -4.1299644883672754e-001
0.5 -2.5 -2.7734206880067491e-001
0.5 -2.0 -3.6741854570146656e-002
0.5 -1.5 2.7435586085499064e-001
0.5 -1.0 5.8804991252385297e-001
0.5 -0.5 8.2198642996179139e-001
0.5 0.0 9.0865615732157257e-001
0.5 0.5 8.2198642996179139e-001
0.5 1.0 5.8804991252385297e-001
0.5 1.5 2.7435586085499064e-001
0.5 2.0 -3.6741854570146656e-002
0.5 2.5 -2.7734206880067491e-001
0.5 3.0 -4.1299644883672754e-001
0.5 3.5 -4.4542419769608288e-001
0.5 4.0 -4.0171257882496997e-001
1.0 -4.0 -3.8815714686683878e-001
1.0 -3.5 -4.4134834843623150e-001
1.0 -3.0 -4.2975719529028511e-001
1.0 -2.5 -3.2827967547646542e-001
1.0 -2.0 -1.3381535712974757e-001
1.0 -1.5 1.2490192700690395e-001
1.0 -1.0 3.8940039153570244e-001
1.0 -0.5 5.8804991252385297e-001
1.0 0.0 6.6187267693844665e-001
1.0 0.5 5.8804991252385297e-001
1.0 1.0 3.8940039153570244e-001
1.0 1.5 1.2490192700690395e-001
1.0 2.0 -1.3381535712974757e-001
1.0 2.5 -3.2827967547646542e-001
1.0 3.0 -4.2975719529028511e-001
1.0 3.5 -4.4134834843623150e-001
1.0 4.0 -3.8815714686683878e-001
1.5 -4.0 -3.6393228662521721e-001
1.5 -3.5 -4.2851947019164083e-001
1.5 -3.0 -4.4417222738251572e-001
1.5 -2.5 -3.8878959664909635e-001
1.5 -2.0 -2.5753126599653303e-001
1.5 -1.5 -7.1222853091365376e-002
1.5 -1.0 1.2490192700690395e-001
1.5 -0.5 2.7435586085499064e-001
1.5 0.0 3.3024232587019070e-001
1.5 0.5 2.7435586085499064e-001
1.5 1.0 1.2490192700690395e-001
1.5 1.5 -7.1222853091365376e-002
1.5 2.0 -2.5753126599653303e-001
1.5 2.5 -3.8878959664909635e-001
1.5 3.0 -4.4417222738251572e-001
1.5 3.5 -4.2851947019164083e-001
1.5 4.0 -3.6393228662521721e-001
2.0 -4.0 -3.2833999449559520e-001
2.0 -3.5 -4.0171257882496997e-001
2.0 -3.0 -4.4305126920943660e-001
2.0 -2.5 -4.3389057961529681e-001
2.0 -2.0 -3.6787944117144233e-001
2.0 -1.5 -2.5753126599653303e-001
2.0 -1.0 -1.3381535712974757e-001
2.0 -0.5 -3.6741854570146656e-002
2.0 0.0 0.0000000000000000e+000
2.0 0.5 -3.6741854570146656e-002
2.0 1.0 -1.3381535712974757e-001
2.0 1.5 -2.5753126599653303e-001
2.0 2.0 -3.6787944117144233e-001
2.0 2.5 -4.3389057961529681e-001
2.0 3.0 -4.4305126920943660e-001
2.0 3.5 -4.0171257882496997e-001
2.0 4.0 -3.2833999449559520e-001
2.5 -4.0 -2.8269709758805217e-001
2.5 -3.5 -3.5892360531887035e-001
2.5 -3.0 -4.1804080463846954e-001
2.5 -2.5 -4.4542419769608288e-001
2.5 -2.0 -4.3389057961529681e-001
2.5 -1.5 -3.8878959664909635e-001
2.5 -1.0 -3.2827967547646542e-001
2.5 -0.5 -2.7734206880067491e-001
2.5 0.0 -2.5753126599653303e-001
2.5 0.5 -2.7734206880067491e-001
2.5 1.0 -3.2827967547646542e-001
2.5 1.5 -3.8878959664909635e-001
2.5 2.0 -4.3389057961529681e-001
2.5 2.5 -4.4542419769608288e-001
2.5 3.0 -4.1804080463846954e-001
2.5 3.5 -3.5892360531887035e-001
2.5 4.0 -2.8269709758805217e-001
3.0 -4.0 -2.3066890152288896e-001
3.0 -3.5 -3.0278502381463590e-001
3.0 -3.0 -3.6889728596652516e-001
3.0 -2.5 -4.1804080463846954e-001
3.0 -2.0 -4.4305126920943660e-001
3.0 -1.5 -4.4417222738251572e-001
3.0 -1.0 -4.2975719529028511e-001
3.0 -0.5 -4.1299644883672754e-001
3.0 0.0 -4.0581558419793717e-001
3.0 0.5 -4.1299644883672754e-001
3.0 1.0 -4.2975719529028511e-001
3.0 1.5 -4.4417222738251572e-001
3.0 2.0 -4.4305126920943660e-001
3.0 2.5 -4.1804080463846954e-001
3.0 3.0 -3.6889728596652516e-001
3.0 3.5 -3.0278502381463590e-001
3.0 4.0 -2.3066890152288896e-001
3.5 -4.0 -1.7743911486826255e-001
3.5 -3.5 -2.3969943971778981e-001
3.5 -3.0 -3.0278502381463590e-001
3.5 -2.5 -3.5892360531887035e-001
3.5 -2.0 -4.0171257882496997e-001
3.5 -1.5 -4.2851947019164083e-001
3.5 -1.0 -4.4134834843623150e-001
3.5 -0.5 -4.4542419769608288e-001
3.5 0.0 -4.4604690658664253e-001
3.5 0.5 -4.4542419769608288e-001
3.5 1.0 -4.4134834843623150e-001
3.5 1.5 -4.2851947019164083e-001
3.5 2.0 -4.0171257882496997e-001
3.5 2.5 -3.5892360531887035e-001
3.5 3.0 -3.0278502381463590e-001
3.5 3.5 -2.3969943971778981e-001
3.5 4.0 -1.7743911486826255e-001
4.0 -4.0 -1.2820947222113926e-001
4.0 -3.5 -1.7743911486826255e-001
4.0 -3.0 -2.3066890152288896e-001
4.0 -2.5 -2.8269709758805217e-001
4.0 -2.0 -3.2833999449559520e-001
4.0 -1.5 -3.6393228662521721e-001
4.0 -1.0 -3.8815714686683878e-001
4.0 -0.5 -4.0171257882496997e-001
4.0 0.0 -4.0600584970983811e-001
4.0 0.5 -4.0171257882496997e-001
4.0 1.0 -3.8815714686683878e-001
4.0 1.5 -3.6393228662521721e-001
4.0 2.0 -3.2833999449559520e-001
4.0 2.5 -2.8269709758805217e-001
4.0 3.0 -2.3066890152288896e-001
4.0 3.5 -1.7743911486826255e-001
4.0 4.0 -1.2820947222113926e-001
