x y z
-4.00 -4.00 -1.2820947222113926e-001
-4.00 -3.20 -2.0921310784789968e-001
-4.00 -2.40 -2.9248390965322918e-001
-4.00 -1.60 -3.5771585159987601e-001
-4.00 -0.80 -3.9477947054752044e-001
-4.00 0.00 -4.0600584970983811e-001
-4.00 0.80 -3.9477947054752044e-001
-4.00 1.60 -3.5771585159987590e-001
-4.00 2.40 -2.9248390965322912e-001
-4.00 3.20 -2.0921310784789968e-001
-4.00 4.00 -1.2820947222113926e-001
-3.20 -4.00 -2.0921310784789968e-001
-3.20 -3.20 -3.1849553062639491e-001
-3.20 -2.40 -4.0600584970983816e-001
-3.20 -1.60 -4.4417233958824187e-001
-3.20 -0.80 -4.4145653636011611e-001
-3.20 0.00 -4.3373818870698289e-001
-3.20 0.80 -4.4145653636011623e-001
-3.20 1.60 -4.4417233958824187e-001
-3.20 2.40 -4.0600584970983800e-001
-3.20 3.20 -3.1849553062639491e-001
-3.20 4.00 -2.0921310784789968e-001
-2.40 -4.00 -2.9248390965322918e-001
-2.40 -3.20 -4.0600584970983816e-001
-2.40 -2.40 -4.4542418632238889e-001
-2.40 -1.60 -3.8173105651548250e-001
-2.40 -0.80 -2.6959737847033294e-001
-2.40 0.00 -2.1417099262238751e-001
-2.40 0.80 -2.6959737847033299e-001
-2.40 1.60 -3.8173105651548261e-001
-2.40 2.40 -4.4542418632238889e-001
-2.40 3.20 -4.0600584970983816e-001
-2.40 4.00 -2.9248390965322918e-001
-1.60 -4.00 -3.5771585159987601e-001
-1.60 -3.20 -4.4417233958824187e-001
-1.60 -2.40 -3.8173105651548250e-001
-1.60 -1.60 -1.4764187873205331e-001
-1.60 -0.80 1.3406400920712816e-001
-1.60 0.00 2.6141365334652900e-001
-1.60 0.80 1.3406400920712788e-001
-1.60 1.60 -1.4764187873205367e-001
-1.60 2.40 -3.8173105651548261e-001
-1.60 3.20 -4.4417233958824187e-001
-1.60 4.00 -3.5771585159987601e-001
-0.80 -4.00 -3.9477947054752044e-001
-0.80 -3.20 -4.4145653636011611e-001
-0.80 -2.40 -2.6959737847033294e-001
-0.80 -1.60 1.3406400920712816e-001
-0.80 -0.80 5.7945777649702390e-001
-0.80 0.00 7.7541773096477418e-001
-0.80 0.80 5.7945777649702346e-001
-0.80 1.60 1.3406400920712758e-001
-0.80 2.40 -2.6959737847033305e-001
-0.80 3.20 -4.4145653636011611e-001
-0.80 4.00 -3.9477947054752044e-001
0.00 -4.00 -4.0600584970983811e-001
0.00 -3.20 -4.3373818870698289e-001
0.00 -2.40 -2.1417099262238751e-001
0.00 -1.60 2.6141365334652900e-001
0.00 -0.80 7.7541773096477418e-001
0.00 0.00 1.0000000000000000e+000
0.00 0.80 7.7541773096477373e-001
0.00 1.60 2.6141365334652833e-001
0.00 2.40 -2.1417099262238767e-001
0.00 3.20 -4.3373818870698289e-001
0.00 4.00 -4.0600584970983811e-001
0.80 -4.00 -3.9477947054752044e-001
0.80 -3.20 -4.4145653636011617e-001
0.80 -2.40 -2.6959737847033299e-001
0.80 -1.60 1.3406400920712791e-001
0.80 -0.80 5.7945777649702346e-001
0.80 0.00 7.7541773096477373e-001
0.80 0.80 5.7945777649702312e-001
0.80 1.60 1.3406400920712735e-001
0.80 2.40 -2.6959737847033316e-001
0.80 3.20 -4.4145653636011617e-001
0.80 4.00 -3.9477947054752044e-001
1.60 -4.00 -3.5771585159987590e-001
1.60 -3.20 -4.4417233958824187e-001
1.60 -2.40 -3.8173105651548261e-001
1.60 -1.60 -1.4764187873205367e-001
1.60 -0.80 1.3406400920712758e-001
1.60 0.00 2.6141365334652833e-001
1.60 0.80 1.3406400920712733e-001
1.60 1.60 -1.4764187873205400e-001
1.60 2.40 -3.8173105651548273e-001
1.60 3.20 -4.4417233958824187e-001
1.60 4.00 -3.5771585159987590e-001
2.40 -4.00 -2.9248390965322912e-001
2.40 -3.20 -4.0600584970983800e-001
2.40 -2.40 -4.4542418632238889e-001
2.40 -1.60 -3.8173105651548261e-001
2.40 -0.80 -2.6959737847033305e-001
2.40 0.00 -2.1417099262238767e-001
2.40 0.80 -2.6959737847033316e-001
2.40 1.60 -3.8173105651548273e-001
2.40 2.40 -4.4542418632238889e-001
2.40 3.20 -4.0600584970983800e-001
2.40 4.00 -2.9248390965322912e-001
3.20 -4.00 -2.0921310784789968e-001
3.20 -3.20 -3.1849553062639491e-001
3.20 -2.40 -4.0600584970983816e-001
3.20 -1.60 -4.4417233958824187e-001
3.20 -0.80 -4.4145653636011611e-001
3.20 0.00 -4.3373818870698289e-001
3.20 0.80 -4.4145653636011623e-001
3.20 1.60 -4.4417233958824187e-001
3.20 2.40 -4.0600584970983800e-001
3.20 3.20 -3.1849553062639491e-001
3.20 4.00 -2.0921310784789968e-001
4.00 -4.00 -1.2820947222113926e-001
4.00 -3.20 -2.0921310784789968e-001
4.00 -2.40 -2.9248390965322918e-001
4.00 -1.60 -3.5771585159987601e-001
4.00 -0.80 -3.9477947054752044e-001
4.00 0.00 -4.0600584970983811e-001
4.00 0.80 -3.9477947054752044e-001
4.00 1.60 -3.5771585159987590e-001
4.00 2.40 -2.9248390965322912e-001
4.00 3.20 -2.0921310784789968e-001
4.00 4.00 -1.2820947222113926e-001
